Extended GOX/ABS CEA Tables,,,,,,,,,,,,,,,
"Flame Temperature, Deg. K                                                                                                O/F  Ratio",,,,,,,,,,,,,,,
Pc(kPa)  ,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,4,5,6,7,8
1378.9,1.2454,1.2624,1.2464,1.1823,1.1463,1.1319,1.1262,1.1234,1.1217,1.1206,1.1193,1.1207,1.1244,1.1306,1.1396
1723.7,1.2451,1.2627,1.249,1.1853,1.1484,1.1333,1.1273,1.1244,1.1227,1.1216,1.1203,1.1218,1.1257,1.1321,1.1413
2068.4,1.2449,1.263,1.2509,1.1877,1.1501,1.1344,1.1283,1.1253,1.1235,1.1224,1.1211,1.1227,1.1267,1.1333,1.1428
2413.2,1.2446,1.2632,1.2525,1.1898,1.1515,1.1354,1.1291,1.126,1.1242,1.1231,1.1218,1.1235,1.1276,1.1344,1.1441
2757.9,1.2443,1.2633,1.2539,1.1916,1.1528,1.1362,1.1298,1.1266,1.1248,1.1237,1.1224,1.1241,1.1284,1.1353,1.1452
3102.6,1.244,1.2634,1.255,1.1932,1.154,1.137,1.1304,1.1272,1.1254,1.1242,1.1229,1.1247,1.129,1.1361,1.1462
3447.4,1.2438,1.2634,1.256,1.1946,1.155,1.1377,1.1309,1.1277,1.1259,1.1247,1.1234,1.1252,1.1297,1.1369,1.147
4136.8,1.2432,1.2634,1.2576,1.197,1.1568,1.1389,1.1319,1.1286,1.1267,1.1255,1.1242,1.1261,1.1307,1.1382,1.1485
5515.8,1.2421,1.2633,1.2599,1.2007,1.1598,1.1408,1.1334,1.1299,1.128,1.1268,1.1255,1.1276,1.1324,1.1402,1.1509
,,,,,,,,,,,,,,,
Cstar                                                                                                                                       O/F  Ratio,,,,,,,,,,,,,,,
Pc(kPa)  ,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,4,5,6,7,8
275.79,1609.08,1601.61,1679.58,1743.96,1749.84,1730.84,1705.57,1680.03,1655.84,1633.47,1559.37,1503.16,1457.67,1418.54,1383.1
413.68,1609.2,1601.71,1681.22,1749.6,1758.26,1740.35,1715.26,1689.63,1665.33,1642.74,1567.76,1510.76,1464.31,1424.3,1387.91
551.58,1609.36,1601.78,1682.28,1753.4,1764.2,1747,1722.15,1696.49,1672.07,1649.3,1573.73,1516.08,1469.05,1428.29,1391.22
689.47,1609.37,1601.88,1683.01,1756.2,1768.64,1752.2,1727.49,1701.77,1677.29,1654.39,1578.36,1520.22,1472.65,1431.38,1393.71
861.84,1609.48,1601.95,1683.65,1758.89,1773,1757.31,1732.74,1707.11,1682.53,1659.52,1582.97,1524.3,1476.25,1434.43,1396.09
1034.2,1609.6,1601.98,1684.22,1760.95,1776.6,1761.5,1737.09,1711.41,1686.74,1663.68,1586.74,1527.64,1479.15,1436.85,1398.04
1206.6,1609.67,1601.99,1684.59,1762.64,1779.5,1764.97,1740.73,1715.09,1690.35,1667.21,1589.91,1530.48,1481.56,1438.89,1399.66
1378.9,1609.7,1601.98,1684.92,1764.1,1782.01,1767.99,1743.9,1718.21,1693.44,1670.25,1592.66,1532.87,1483.68,1440.61,1401.01
1723.7,1609.9,1602.08,1685.47,1766.34,1786.11,1772.99,1749.2,1723.48,1698.66,1675.32,1597.23,1536.91,1487.11,1443.47,1403.26
2068.4,1609.98,1602.08,1685.88,1768.11,1789.39,1777.08,1753.43,1727.76,1702.91,1679.5,1600.97,1540.19,1489.93,1445.78,1405.03
2413.2,1610.14,1602.1,1686.21,1769.56,1792.15,1780.49,1757,1731.39,1706.47,1683,1604.12,1542.91,1492.27,1447.67,1406.5
2757.9,1610.26,1602.1,1686.43,1770.76,1794.48,1783.44,1760.15,1734.57,1709.58,1686.01,1606.8,1545.31,1494.27,1449.28,1407.72
